Index	Name	ID	Gender	Plate	Well	Group	Parent1	Parent2	Replicate	SentrixPosition
1	NIH_TVD_YS-A1	NIH_TVD_YS-A1	Unknown	49002	A1					10004312001_R01C01
2	NIH_TVD_YS-B1	NIH_TVD_YS-B1	Unknown	49002	B1					10004312001_R01C02
3	NIH_TVD_YS-C1	NIH_TVD_YS-C1	Unknown	49002	C1					10004312003_R01C01
4	NIH_TVD_YS-D1	NIH_TVD_YS-D1	Unknown	49002	D1					10004312003_R01C02
5	NIH_TVD_YS-E1	NIH_TVD_YS-E1	Unknown	49002	E1					10004312007_R01C01
6	NIH_TVD_YS-F1	NIH_TVD_YS-F1	Unknown	49002	F1					10004312007_R01C02
7	NIH_TVD_YS-G1	NIH_TVD_YS-G1	Unknown	49002	G1					10004312009_R01C01
8	NIH_TVD_YS-H1	NIH_TVD_YS-H1	Unknown	49002	H1					10004312009_R01C02
9	NIH_TVD_YS-A2	NIH_TVD_YS-A2	Unknown	49002	A2					10004312001_R03C01
10	NIH_TVD_YS-B2	NIH_TVD_YS-B2	Unknown	49002	B2					10004312001_R03C02
11	NIH_TVD_YS-C2	NIH_TVD_YS-C2	Unknown	49002	C2					10004312003_R03C01
12	NIH_TVD_YS-D2	NIH_TVD_YS-D2	Unknown	49002	D2					10004312003_R03C02
13	NIH_TVD_YS-E2	NIH_TVD_YS-E2	Unknown	49002	E2					10004312007_R03C01
14	NIH_TVD_YS-F2	NIH_TVD_YS-F2	Unknown	49002	F2					10004312007_R03C02
15	NIH_TVD_YS-G2	NIH_TVD_YS-G2	Unknown	49002	G2					10004312009_R03C01
16	NIH_TVD_YS-H2	NIH_TVD_YS-H2	Unknown	49002	H2					10004312009_R03C02
17	NIH_TVD_YS-A3	NIH_TVD_YS-A3	Unknown	49002	A3					10004312001_R05C01
18	NIH_TVD_YS-B3	NIH_TVD_YS-B3	Unknown	49002	B3					10004312001_R05C02
19	NIH_TVD_YS-C3	NIH_TVD_YS-C3	Unknown	49002	C3					10004312003_R05C01
20	NIH_TVD_YS-D3	NIH_TVD_YS-D3	Unknown	49002	D3					10004312003_R05C02
21	NIH_TVD_YS-E3	NIH_TVD_YS-E3	Unknown	49002	E3					10004312007_R05C01
22	NIH_TVD_YS-F3	NIH_TVD_YS-F3	Unknown	49002	F3					10004312007_R05C02
23	NIH_TVD_YS-G3	NIH_TVD_YS-G3	Unknown	49002	G3					10004312009_R05C01
24	NIH_TVD_YS-H3	NIH_TVD_YS-H3	Unknown	49002	H3					10004312009_R05C02
25	NIH_TVD_YS-A4	NIH_TVD_YS-A4	Unknown	49002	A4					10004312001_R07C01
26	NIH_TVD_YS-B4	NIH_TVD_YS-B4	Unknown	49002	B4					10004312001_R07C02
27	NIH_TVD_YS-C4	NIH_TVD_YS-C4	Unknown	49002	C4					10004312003_R07C01
28	NIH_TVD_YS-D4	NIH_TVD_YS-D4	Unknown	49002	D4					10004312003_R07C02
29	NIH_TVD_YS-E4	NIH_TVD_YS-E4	Unknown	49002	E4					10004312007_R07C01
30	NIH_TVD_YS-F4	NIH_TVD_YS-F4	Unknown	49002	F4					10004312007_R07C02
31	NIH_TVD_YS-G4	NIH_TVD_YS-G4	Unknown	49002	G4					10004312009_R07C01
32	NIH_TVD_YS-H4	NIH_TVD_YS-H4	Unknown	49002	H4					10004312009_R07C02
33	NIH_TVD_YS-A5	NIH_TVD_YS-A5	Unknown	49002	A5					10004312001_R09C01
34	NIH_TVD_YS-B5	NIH_TVD_YS-B5	Unknown	49002	B5					10004312001_R09C02
35	NIH_TVD_YS-C5	NIH_TVD_YS-C5	Unknown	49002	C5					10004312003_R09C01
36	NIH_TVD_YS-D5	NIH_TVD_YS-D5	Unknown	49002	D5					10004312003_R09C02
37	NIH_TVD_YS-E5	NIH_TVD_YS-E5	Unknown	49002	E5					10004312007_R09C01
38	NIH_TVD_YS-F5	NIH_TVD_YS-F5	Unknown	49002	F5					10004312007_R09C02
39	NIH_TVD_YS-G5	NIH_TVD_YS-G5	Unknown	49002	G5					10004312009_R09C01
40	NIH_TVD_YS-H5	NIH_TVD_YS-H5	Unknown	49002	H5					10004312009_R09C02
41	NIH_TVD_YS-A6	NIH_TVD_YS-A6	Unknown	49002	A6					10004312001_R11C01
42	NIH_TVD_YS-B6	NIH_TVD_YS-B6	Unknown	49002	B6					10004312001_R11C02
43	NIH_TVD_YS-C6	NIH_TVD_YS-C6	Unknown	49002	C6					10004312003_R11C01
44	NIH_TVD_YS-D6	NIH_TVD_YS-D6	Unknown	49002	D6					10004312003_R11C02
45	NIH_TVD_YS-E6	NIH_TVD_YS-E6	Unknown	49002	E6					10004312007_R11C01
46	NIH_TVD_YS-F6	NIH_TVD_YS-F6	Unknown	49002	F6					10004312007_R11C02
47	NIH_TVD_YS-G6	NIH_TVD_YS-G6	Unknown	49002	G6					10004312009_R11C01
48	NIH_TVD_YS-H6	NIH_TVD_YS-H6	Unknown	49002	H6					10004312009_R11C02
49	NIH_TVD_YS-A7	NIH_TVD_YS-A7	Unknown	49002	A7					10004312001_R02C01
50	NIH_TVD_YS-B7	NIH_TVD_YS-B7	Unknown	49002	B7					10004312001_R02C02
51	NIH_TVD_YS-C7	NIH_TVD_YS-C7	Unknown	49002	C7					10004312003_R02C01
52	NIH_TVD_YS-D7	NIH_TVD_YS-D7	Unknown	49002	D7					10004312003_R02C02
53	NIH_TVD_YS-E7	NIH_TVD_YS-E7	Unknown	49002	E7					10004312007_R02C01
54	NIH_TVD_YS-F7	NIH_TVD_YS-F7	Unknown	49002	F7					10004312007_R02C02
55	NIH_TVD_YS-G7	NIH_TVD_YS-G7	Unknown	49002	G7					10004312009_R02C01
56	NIH_TVD_YS-H7	NIH_TVD_YS-H7	Unknown	49002	H7					10004312009_R02C02
57	NIH_TVD_YS-A8	NIH_TVD_YS-A8	Unknown	49002	A8					10004312001_R04C01
58	NIH_TVD_YS-B8	NIH_TVD_YS-B8	Unknown	49002	B8					10004312001_R04C02
59	NIH_TVD_YS-C8	NIH_TVD_YS-C8	Unknown	49002	C8					10004312003_R04C01
60	NIH_TVD_YS-D8	NIH_TVD_YS-D8	Unknown	49002	D8					10004312003_R04C02
61	NIH_TVD_YS-E8	NIH_TVD_YS-E8	Unknown	49002	E8					10004312007_R04C01
62	NIH_TVD_YS-F8	NIH_TVD_YS-F8	Unknown	49002	F8					10004312007_R04C02
63	NIH_TVD_YS-G8	NIH_TVD_YS-G8	Unknown	49002	G8					10004312009_R04C01
64	NIH_TVD_YS-H8	NIH_TVD_YS-H8	Unknown	49002	H8					10004312009_R04C02
65	NIH_TVD_YS-A9	NIH_TVD_YS-A9	Unknown	49002	A9					10004312001_R06C01
66	NIH_TVD_YS-B9	NIH_TVD_YS-B9	Unknown	49002	B9					10004312001_R06C02
67	NIH_TVD_YS-C9	NIH_TVD_YS-C9	Unknown	49002	C9					10004312003_R06C01
68	NIH_TVD_YS-D9	NIH_TVD_YS-D9	Unknown	49002	D9					10004312003_R06C02
69	NIH_TVD_YS-E9	NIH_TVD_YS-E9	Unknown	49002	E9					10004312007_R06C01
70	NIH_TVD_YS-F9	NIH_TVD_YS-F9	Unknown	49002	F9					10004312007_R06C02
71	NIH_TVD_YS-G9	NIH_TVD_YS-G9	Unknown	49002	G9					10004312009_R06C01
72	NIH_TVD_YS-H9	NIH_TVD_YS-H9	Unknown	49002	H9					10004312009_R06C02
73	NIH_TVD_YS-A10	NIH_TVD_YS-A10	Unknown	49002	A10					10004312001_R08C01
74	NIH_TVD_YS-B10	NIH_TVD_YS-B10	Unknown	49002	B10					10004312001_R08C02
75	NIH_TVD_YS-C10	NIH_TVD_YS-C10	Unknown	49002	C10					10004312003_R08C01
76	NIH_TVD_YS-D10	NIH_TVD_YS-D10	Unknown	49002	D10					10004312003_R08C02
77	NIH_TVD_YS-E10	NIH_TVD_YS-E10	Unknown	49002	E10					10004312007_R08C01
78	NIH_TVD_YS-F10	NIH_TVD_YS-F10	Unknown	49002	F10					10004312007_R08C02
79	NIH_TVD_YS-G10	NIH_TVD_YS-G10	Unknown	49002	G10					10004312009_R08C01
80	NIH_TVD_YS-H10	NIH_TVD_YS-H10	Unknown	49002	H10					10004312009_R08C02
81	NIH_TVD_YS-A11	NIH_TVD_YS-A11	Unknown	49002	A11					10004312001_R10C01
82	NIH_TVD_YS-B11	NIH_TVD_YS-B11	Unknown	49002	B11					10004312001_R10C02
