"sample","strain","sex","letter","concordance"
"129S1/SvImJ (f)","129S1/SvImJ","f","CC",1
"129S1/SvImJm212 (m)","129S1/SvImJ","m","CC",1
"CA0056 (f)","(129S1/SvImJxA/J)F1","f","CA",0.996730423410168
"CB15916F (f)","(129S1/SvImJxC57BL/6J)F1","f","CB",0.99208312716477
"129xCASTf005 (f)","(129S1/SvImJxCAST/EiJ)F1","f","CF",0.996845949535193
"CD0063 (f)","(129S1/SvImJxNOD/ShiLtJ)F1","f","CD",0.995854750455977
"CE0005 (f)","(129S1/SvImJxNZO/HILtJ)F1","f","CE",0.995071463775259
"129xPWK 040F (f)","(129S1/SvImJxPWK/PhJ)F1","f","CG",0.995991983967936
"129xPWK037m (m)","(129S1/SvImJxPWK/PhJ)F1","m","CG",0.996158343076666
"CH0013 (f)","(129S1/SvImJxWSB/EiJ)F1","f","CH",0.996363035212432
"A/J (f)","A/J","f","AA",1
"A/Jm111 (m)","A/J","m","AA",1
"AB0095 (f)","(A/JxC57BL/6J)F1","f","AB",0.995400032856908
"AE-F (f)","(A/JxNZO/HILtJ)F1","f","AE",0.997557003257329
"AJxPWKf001 (f)","(A/JxPWK/PhJ)F1","f","AG",0.995338771433328
"AJxPWKm006 (m)","(A/JxPWK/PhJ)F1","m","AG",0.994839354086899
"AH0030 (f)","(A/JxWSB/EiJ)F1","f","AH",0.997365821534409
"C57BL/6J (f)","C57BL/6J","m","BB",1
"BF0016 (f)","(C57BL/6JxCAST/EiJ)F1","f","BF",0.992125984251969
"BD0018 (f)","(C57BL/6JxNOD/ShiLtJ)F1","f","BD",0.995676754240106
"BE0016 (f)","(C57BL/6JxNZO/HILtJ)F1","f","BE",0.993763334974561
"B6xPWKf002 (f)","(C57BL/6JxPWK/PhJ)F1","f","BG",0.994196650638368
"B6xPWKm006 (m)","(C57BL/6JxPWK/PhJ)F1","m","BG",0.995192307692308
"B6xWSB 15713 (m)","(C57BL/6JxWSB/EiJ)F1","m","BH",0.995623277678716
"CASTx129m001 (m)","(CAST/EiJx129S1/SvImJ)F1","m","FC",0.996842804918578
"CASTxAJf001 (f)","(CAST/EiJxA/J)F1","f","FA",0.996689289852673
"CASTxAJm005 (m)","(CAST/EiJxA/J)F1","m","FA",0.99635520212061
"CAST/EiJ (f)","CAST/EiJ","f","FF",1
"CAST/EiJm42 (m)","CAST/EiJ","m","FF",1
"CASTxNODf007 (f)","(CAST/EiJxNOD/ShiLtJ)F1","f","FD",0.996806185913599
"CASTxPWKm021 (m)","(CAST/EiJxPWK/PhJ)F1","m","FG",0.997126436781609
"CASTxWSBf015 (f)","(CAST/EiJxWSB/EiJ)F1","f","FH",0.998009289980093
"CASTxWSBm001 (m)","(CAST/EiJxWSB/EiJ)F1","m","FH",0.997842681712579
"DA0018 (f)","(NOD/ShiLtJxA/J)F1","f","DA",0.99720072451836
"NOD/LtJ (f)","NOD/ShiLtJ","f","DD",1
"DE0001 (f)","(NOD/ShiLtJxNZO/HILtJ)F1","f","DE",0.997014430253773
"NODxPWKm003 (m)","(NOD/ShiLtJxPWK/PhJ)F1","m","DG",0.995950050624367
"NODxPWKm004 (f)","(NOD/ShiLtJxPWK/PhJ)F1","m","DG",0.995949367088608
"DH0141 (f)","(NOD/ShiLtJxWSB/EiJ)F1","f","DH",0.997839454877846
"NZO/HlLtJ (f)","NZO/HILtJ","f","EE",1
"NZO/HlLtJm51 (m)","NZO/HILtJ","m","EE",1
"EH15876F (f)","(NZO/HILtJxWSB/EiJ)F1","f","EH",0.996367239101717
"PWK/PhJ (f)","PWK/PhJ","m","GG",1
"PWK/PhJm175 (m)","PWK/PhJ","m","GG",1
"WSBxCASTf003 (f)","(WSB/EiJxCAST/EiJ)F1","f","HF",0.998340524394291
"WSBxPWKf003 (f)","(WSB/EiJxPWK/PhJ)F1","f","HG",0.997661600133623
"WSBxPWKm001 (m)","(WSB/EiJxPWK/PhJ)F1","m","HG",0.997661600133623
"WSB/EiJ (f)","WSB/EiJ","m","HH",1
