"sample","sex","resexed","strain"
"#1-m-9376 (m)","m",FALSE,NA
"#2-m-9376 (m)","m",FALSE,NA
"#3-m-9376 (m)","m",FALSE,NA
"#4-m-9376 (m)","m",FALSE,NA
"#5-m-9376 (m)","m",FALSE,NA
"#6-m-9376 (m)","m",FALSE,NA
"129S1/SvImJ (f)","f",FALSE,"129S1/SvImJ"
"129S1/SvImJm212 (m)","m",FALSE,"129S1/SvImJ"
"129xCASTf005 (f)","f",FALSE,"(129S1/SvImJxCAST/EiJ)F1"
"129xPWK 040F (f)","f",FALSE,"(129S1/SvImJxPWK/PhJ)F1"
"129xPWK037m (m)","m",FALSE,"(129S1/SvImJxPWK/PhJ)F1"
"A/J (f)","f",FALSE,"A/J"
"A/Jm111 (m)","m",FALSE,"A/J"
"AB0095 (f)","f",FALSE,"(A/JxC57BL/6J)F1"
"AE-F (f)","f",FALSE,"(A/JxNZO/HILtJ)F1"
"AH0030 (f)","f",FALSE,"(A/JxWSB/EiJ)F1"
"AJxPWKf001 (f)","f",FALSE,"(A/JxPWK/PhJ)F1"
"AJxPWKm006 (m)","m",FALSE,"(A/JxPWK/PhJ)F1"
"B6xPWKf002 (f)","f",FALSE,"(C57BL/6JxPWK/PhJ)F1"
"B6xPWKm006 (m)","m",FALSE,"(C57BL/6JxPWK/PhJ)F1"
"B6xWSB 15713 (m)","m",FALSE,"(C57BL/6JxWSB/EiJ)F1"
"BD0018 (f)","f",FALSE,"(C57BL/6JxNOD/ShiLtJ)F1"
"BE0016 (f)","f",FALSE,"(C57BL/6JxNZO/HILtJ)F1"
"BF0016 (f)","f",FALSE,"(C57BL/6JxCAST/EiJ)F1"
"C57BL/6J (f)","m",TRUE,"C57BL/6J"
"CA0056 (f)","f",FALSE,"(129S1/SvImJxA/J)F1"
"CAST/EiJ (f)","f",FALSE,"CAST/EiJ"
"CAST/EiJm42 (m)","m",FALSE,"CAST/EiJ"
"CASTx129m001 (m)","m",FALSE,"(CAST/EiJx129S1/SvImJ)F1"
"CASTxAJf001 (f)","f",FALSE,"(CAST/EiJxA/J)F1"
"CASTxAJm005 (m)","m",FALSE,"(CAST/EiJxA/J)F1"
"CASTxNODf007 (f)","f",FALSE,"(CAST/EiJxNOD/ShiLtJ)F1"
"CASTxPWKm021 (m)","m",FALSE,"(CAST/EiJxPWK/PhJ)F1"
"CASTxWSBf015 (f)","f",FALSE,"(CAST/EiJxWSB/EiJ)F1"
"CASTxWSBm001 (m)","m",FALSE,"(CAST/EiJxWSB/EiJ)F1"
"CB15916F (f)","f",FALSE,"(129S1/SvImJxC57BL/6J)F1"
"CD0063 (f)","f",FALSE,"(129S1/SvImJxNOD/ShiLtJ)F1"
"CE0005 (f)","f",FALSE,"(129S1/SvImJxNZO/HILtJ)F1"
"CH0013 (f)","f",FALSE,"(129S1/SvImJxWSB/EiJ)F1"
"DA0018 (f)","f",FALSE,"(NOD/ShiLtJxA/J)F1"
"DE0001 (f)","f",FALSE,"(NOD/ShiLtJxNZO/HILtJ)F1"
"DH0141 (f)","f",FALSE,"(NOD/ShiLtJxWSB/EiJ)F1"
"EH15876F (f)","f",FALSE,"(NZO/HILtJxWSB/EiJ)F1"
"NOD/LtJ (f)","f",FALSE,"NOD/ShiLtJ"
"NOD/ShiLtJ-35335 (m)","m",NA,NA
"NODxPWKm003 (m)","m",FALSE,"(NOD/ShiLtJxPWK/PhJ)F1"
"NODxPWKm004 (f)","m",TRUE,"(NOD/ShiLtJxPWK/PhJ)F1"
"NZO/HlLtJ (f)","f",FALSE,"NZO/HILtJ"
"NZO/HlLtJm51 (m)","m",FALSE,"NZO/HILtJ"
"PWK/PhJ (f)","m",TRUE,"PWK/PhJ"
"PWK/PhJm175 (m)","m",FALSE,"PWK/PhJ"
"WSB/EiJ (f)","m",TRUE,"WSB/EiJ"
"WSBxCASTf003 (f)","f",FALSE,"(WSB/EiJxCAST/EiJ)F1"
"WSBxPWKf003 (f)","f",FALSE,"(WSB/EiJxPWK/PhJ)F1"
"WSBxPWKm001 (m)","m",FALSE,"(WSB/EiJxPWK/PhJ)F1"
