"sample","strain","sex","letter","concordance"
"A.Jf","A/J","f","AA",0.999943078324226
"A.Jf0374","A/J","f","AA",0.999957386968935
"A.Jf0374.1","A/J","f","AA",0.999971547260001
"A.Jf0374.2","A/J","f","AA",0.999971587680418
"A.Jm0111","A/J","m","AA",1
"A.Jm0417","A/J","m","AA",0.999957382126064
"A.Jm35593","A/J","m","AA",0.999985797270235
"A.Jm37621","A/J","m","AA",0.99998578576302
"X.A.JxC57BL.6J.F1f0095","(A/JxC57BL/6J)F1","f","AB",0.999601327011519
"X.A.Jx129S1.SvImJ.F1m","(A/Jx129S1/SvImJ)F1","m","AC",0.999686600757856
"X.A.Jx129S1.SvImJ.F1m.1","(A/Jx129S1/SvImJ)F1","m","AC",0.999586953425438
"X.A.JxNOD.ShiLtJ.F1f15432","(A/JxNOD/ShiLtJ)F1","f","AD",0.999829295702519
"X.A.JxNOD.ShiLtJ.F1m15427","(A/JxNOD/ShiLtJ)F1","m","AD",0.999843423056667
"X.A.JxNZO.HILtJ.F1f","(A/JxNZO/HILtJ)F1","f","AE",0.999772219295873
"X.A.JxCAST.EiJ.F1m15765","(A/JxCAST/EiJ)F1","m","AF",0.999181516635315
"X.A.JxPWK.PhJ.F1f001","(A/JxPWK/PhJ)F1","f","AG",0.9992105980796
"X.A.JxPWK.PhJ.F1m006","(A/JxPWK/PhJ)F1","m","AG",0.999082029289003
"X.A.JxWSB.EiJ.F1f0030","(A/JxWSB/EiJ)F1","f","AH",0.999686372902619
"X.A.JxWSB.EiJ.F1m0197","(A/JxWSB/EiJ)F1","m","AH",0.999729059122152
"X.A.JxWSB.EiJ.F1m0197.1","(A/JxWSB/EiJ)F1","m","AH",0.99962902719516
"X.C57BL.6JxA.J.F1f0298","(C57BL/6JxA/J)F1","f","BA",0.999601508574682
"X.C57BL.6JxA.J.F1m0297","(C57BL/6JxA/J)F1","m","BA",0.999573032748388
"X.C57BL.6JxA.J.F1m0297.1","(C57BL/6JxA/J)F1","m","BA",0.99958728261179
"C57BL.6Jf","C57BL/6J","f","BB",0.99958621673682
"C57BL.6Jf1430","C57BL/6J","f","BB",0.999914764252127
"C57BL.6Jf1430.1","C57BL/6J","f","BB",0.999943071843334
"C57BL.6Jf1430.2","C57BL/6J","f","BB",0.999900368636047
"C57BL.6Jm1957","C57BL/6J","m","BB",0.999928962136819
"C57BL.6Jm36826","C57BL/6J","m","BB",0.999872148194448
"C57BL.6Jm38055","C57BL/6J","m","BB",0.999957300236272
"C57BL.6Jm38420","C57BL/6J","m","BB",0.999943184239308
"X.C57BL.6Jx129S1.SvImJ.F1f15580","(C57BL/6Jx129S1/SvImJ)F1","f","BC",0.999572667834708
"X.C57BL.6Jx129S1.SvImJ.F1m15575","(C57BL/6Jx129S1/SvImJ)F1","m","BC",0.999558486320197
"X.C57BL.6JxNOD.ShiLtJ.F1f0018","(C57BL/6JxNOD/ShiLtJ)F1","f","BD",0.999615483209433
"X.C57BL.6JxNZO.HILtJ.F1f0016","(C57BL/6JxNZO/HILtJ)F1","f","BE",0.999530108644577
"X.C57BL.6JxNZO.HILtJ.F1m15853","(C57BL/6JxNZO/HILtJ)F1","m","BE",0.999241741419517
"X.C57BL.6JxCAST.EiJ.F1f0016","(C57BL/6JxCAST/EiJ)F1","f","BF",0.999138648827127
"X.C57BL.6JxCAST.EiJ.F1f0016.1","(C57BL/6JxCAST/EiJ)F1","f","BF",0.999038378735253
"X.C57BL.6JxPWK.PhJ.F1f002","(C57BL/6JxPWK/PhJ)F1","f","BG",0.999024502209216
"X.C57BL.6JxPWK.PhJ.F1m005","(C57BL/6JxPWK/PhJ)F1","m","BG",0.998881175053073
"X.C57BL.6JxPWK.PhJ.F1m005.1","(C57BL/6JxPWK/PhJ)F1","m","BG",0.998980866120258
"X.C57BL.6JxWSB.EiJ.F1f0300","(C57BL/6JxWSB/EiJ)F1","f","BH",0.99962910128388
"X.C57BL.6JxWSB.EiJ.F1m15714","(C57BL/6JxWSB/EiJ)F1","m","BH",0.999572149804615
"X.129S1.SvImJxA.J.F1f0056","(129S1/SvImJxA/J)F1","f","CA",0.999686417606226
"X.129S1.SvImJxA.J.F1f0056.1","(129S1/SvImJxA/J)F1","f","CA",0.999672784179826
"X.129S1.SvImJxC57BL.6J.F1f15916","(129S1/SvImJxC57BL/6J)F1","f","CB",0.9995871886121
"X.129S1.SvImJxC57BL.6J.F1m15914","(129S1/SvImJxC57BL/6J)F1","m","CB",0.999472340668273
"X129S1.SvImJf","129S1/SvImJ","f","CC",0.999843416370107
"X129S1.SvImJf.1","129S1/SvImJ","f","CC",0.99994317697531
"X129S1.SvImJf0827","129S1/SvImJ","f","CC",0.999928961127529
"X129S1.SvImJf0827.1","129S1/SvImJ","f","CC",0.999900408325864
"X129S1.SvImJm","129S1/SvImJ","m","CC",0.999928975254979
"X129S1.SvImJm.1","129S1/SvImJ","m","CC",0.999971558993757
"X129S1.SvImJm1314","129S1/SvImJ","m","CC",0.999957380915174
"X.129S1.SvImJxNOD.ShiLtJ.F1f0063","(129S1/SvImJxNOD/ShiLtJ)F1","f","CD",0.999643900007122
"X.129S1.SvImJxNZO.HILtJ.F1f0005","(129S1/SvImJxNZO/HILtJ)F1","f","CE",0.999615713065756
"X.129S1.SvImJxNZO.HILtJ.F1m0004","(129S1/SvImJxNZO/HILtJ)F1","m","CE",0.999601031618244
"X.129S1.SvImJxCAST.EiJ.F1f005","(129S1/SvImJxCAST/EiJ)F1","f","CF",0.99916842301461
"X.129S1.SvImJxCAST.EiJ.F1m002","(129S1/SvImJxCAST/EiJ)F1","m","CF",0.999066976717481
