"sample","sex","resexed","strain"
"A.Jf","f",FALSE,"A/J"
"A.Jf0374","f",FALSE,"A/J"
"A.Jf0374.1","f",FALSE,"A/J"
"A.Jf0374.2","f",FALSE,"A/J"
"A.Jm0111","m",FALSE,"A/J"
"A.Jm0417","m",FALSE,"A/J"
"A.Jm35593","m",FALSE,"A/J"
"A.Jm37621","m",FALSE,"A/J"
"C57BL.6Jf","f",FALSE,"C57BL/6J"
"C57BL.6Jf1430","f",FALSE,"C57BL/6J"
"C57BL.6Jf1430.1","f",FALSE,"C57BL/6J"
"C57BL.6Jf1430.2","f",FALSE,"C57BL/6J"
"C57BL.6Jm1957","m",FALSE,"C57BL/6J"
"C57BL.6Jm36826","m",FALSE,"C57BL/6J"
"C57BL.6Jm38055","m",FALSE,"C57BL/6J"
"C57BL.6Jm38420","m",FALSE,"C57BL/6J"
"CAST.EiJ","f",TRUE,"CAST/EiJ"
"CAST.EiJf0539","f",FALSE,"CAST/EiJ"
"CAST.EiJf0539.1","f",FALSE,"CAST/EiJ"
"CAST.EiJf0539.2","f",FALSE,"CAST/EiJ"
"CAST.EiJm0042","m",FALSE,"CAST/EiJ"
"CAST.EiJm0538","m",FALSE,"CAST/EiJ"
"CAST.EiJm0754","m",FALSE,"CAST/EiJ"
"CAST.EiJm0758","m",FALSE,"CAST/EiJ"
"NOD.ShiLtJf0713","f",FALSE,"NOD/ShiLtJ"
"NOD.ShiLtJf0713.1","f",FALSE,"NOD/ShiLtJ"
"NOD.ShiLtJf0713.2","f",FALSE,"NOD/ShiLtJ"
"NOD.ShiLtJf0713.3","f",FALSE,"NOD/ShiLtJ"
"NOD.ShiLtJm0150","m",FALSE,"NOD/ShiLtJ"
"NOD.ShiLtJm1214","m",FALSE,"NOD/ShiLtJ"
"NOD.ShiLtJm35324","m",FALSE,"NOD/ShiLtJ"
"NOD.ShiLtJm39173","m",FALSE,"NOD/ShiLtJ"
"NZO.HILtJf0588","f",FALSE,"NZO/HILtJ"
"NZO.HILtJf0588.1","f",FALSE,"NZO/HILtJ"
"NZO.HILtJf0588.2","f",FALSE,"NZO/HILtJ"
"NZO.HILtJf0588.3","f",FALSE,"NZO/HILtJ"
"NZO.HILtJm0051","m",FALSE,"NZO/HILtJ"
"NZO.HILtJm0591","m",FALSE,"NZO/HILtJ"
