"marker","129S1/SvImJ","A/J","C57BL/6J","CAST/EiJ","NOD/ShiLtJ","NZO/HILtJ","PWK/PhJ","WSB/EiJ"
"backupJAX00000484",0.1645,0.877,0.743,0.1205,0.193,0.828,0.097,0.797
"backupJAX00003592",1.3185,0.0075,1.217,0.008,0.006,1.2355,0.0085,1.259
"backupJAX00004293",0.056,0.0505,0.076,0.099,0.734,0.751,0.765,0.722
"backupJAX00005508",0.012,0.024,0.793,0.0455,0.581,0.0545,0.0325,0.78
"backupJAX00012065",1.312,1.297,1.216,0.0305,0.025,1.3675,0.0285,1.325
"backupJAX00012423",0.7305,0.679,0,0.004,0.652,0.003,0.002,0.004
"backupJAX00013638",1.212,1.194,0.015,0.022,1.21,0.0215,0.025,0.018
"backupJAX00016442",0.9985,1.0125,1.043,0.0185,1.003,1.0375,0.023,0.013
"backupJAX00016725",0.9465,0.882,0.994,0.087,0.686,0.9385,0.092,0.069
"backupJAX00016777",5e-04,0.002,0.003,0.584,0.001,0,0.556,0.62
"backupJAX00016935",0.012,0.0135,0.015,0.7345,0.004,0.8735,0.8415,0.011
"backupJAX00017425",0.8745,0.063,0.047,0.848,0.076,0.0575,0.8045,0.059
"backupJAX00017686",0.0325,0.033,0.029,0.444,0.033,0.0285,0.4585,0.618
"backupJAX00017846",0.0185,0.0205,0.019,0.709,0.015,0.0195,0.6945,0.827
"backupJAX00018167",0.718,0.665,0.764,0.008,0.548,0.721,0.008,0.012
"backupJAX00018634",0.028,0.023,0.015,1.059,0.01,0.024,1.08,1.005
"backupJAX00019859",1.0945,1.2315,1.211,0.0315,1.275,0.0345,1.2825,0.04
"backupJAX00019938",0.4055,0.432,0.446,0.0035,0.256,0.4105,0.003,0.058
"backupJAX00020863",1.206,1.148,1.088,0.0365,1.154,1.142,0.0225,0.033
"backupJAX00021562",0.674,0.646,0.627,0.0025,0,0.66,0.5745,0
"backupJAX00021946",0.7755,0.761,0.026,0.0205,0.699,0.77,0.0215,0.022
"backupJAX00022240",0.906,0.857,0.817,0.014,0.816,0.855,0.013,0.007
"backupJAX00022532",0.0405,0.0435,0.03,1.3365,0.052,0.0345,1.2645,1.272
"backupJAX00023386",0.027,0.016,0.013,0.8135,0.011,0.8795,0.8,0.888
"backupJAX00024040",0.028,1.357,1.279,0.048,1.417,1.347,0.035,0.033
"backupJAX00024664",0.061,0.024,0.991,1.202,0.053,0.028,1.1745,0.858
"backupJAX00025163",0.39,0.363,0.32,0.0255,0.002,0.322,0.3185,0.006
"backupJAX00025840",0.899,0.046,0.874,0.7455,0.031,0.0565,0.496,0.045
"backupJAX00029149",0.0415,0.0455,0.972,1.037,0.031,0.041,1.058,1.034
"backupJAX00029181",0.0265,0.0355,1.257,0.0455,0.036,1.33,0.037,1.317
"backupJAX00029408",1.409,1.4785,1.414,0.0175,1.548,1.4345,0.013,0.016
"backupJAX00031170",0.058,1.573,0.046,1.7685,1.944,0.0535,1.8105,0.044
"backupJAX00032362",1.387,1.487,1.344,0.0215,1.678,1.41,0.0125,0.016
"backupJAX00032746",1.614,1.616,1.457,0.029,1.762,1.558,0.0265,0.014
"backupJAX00033291",0.012,0.9135,0.894,0.005,0.013,0.8225,0.0095,0.899
"backupJAX00034327",1.394,0.034,0.039,1.41,0.034,1.308,0.041,1.23
"backupJAX00037596",1.0805,0.0235,0.022,1.062,0.017,1.139,1.1685,0.026
"backupJAX00038162",0.0505,1.1075,1.077,0.033,1.081,0.0485,0.0325,1.164
"backupJAX00038625",0.0115,0.021,0.015,1.1675,0.023,0.021,1.1805,1.048
"backupJAX00039505",0.079,1.2075,1.224,0.0735,1.202,1.2225,0.071,1.285
"backupJAX00041510",0.022,0.019,0.016,0.0245,0.583,0.741,0.7165,0.016
"backupJAX00042076",0,0.849,1.009,0.0055,0.439,0.0035,0.0025,0.004
